Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type,Property Type - Self Selected,Year Built,Energy Audit Due Date,Energy Audit Status,2020 Benchmark Status,2020 Reason for Exemption,2019 Benchmark Status,2019 Reason for Exemption,2018 Benchmark Status,2018 Reason for Exemption,2017 Benchmark Status,2017 Reason for Exemption,2016 Benchmark Status,2016 Reason for Exemption,2015 Benchmark Status,2015 Reason for Exemption,2014 Benchmark Status,2014 Reason for Exemption,2013 Benchmark Status,2013 Reason for Exemption,2012 Benchmark Status,2012 Reason for Exemption,2011 Benchmark Status,2011 Reason for Exemption,2020 ENERGY STAR Score,2020 Site EUI (kBtu/ft2),2020 Source EUI (kBtu/ft2),2020 Percent Better than National Median Site EUI,2020 Percentage Better than National Median Source EUI,2020 Weather Normalized Site EUI (kBtu/ft2),2020 Weather Normalized Source EUI (kBtu/ft2),2019 ENERGY STAR Score,2019 Site EUI (kBtu/ft2),2019 Source EUI (kBtu/ft2),2019 Percent Better than National Median Site EUI,2019 Percentage Better than National Median Source EUI,2019 Weather Normalized Site EUI (kBtu/ft2),2019 Weather Normalized Source EUI (kBtu/ft2),2018 ENERGY STAR Score,2018 Site EUI (kBtu/ft2),2018 Source EUI (kBtu/ft2),2018 Percent Better than National Median Site EUI,2018 Percent Better than National Median Source EUI,2018 Weather Normalized Site EUI (kBtu/ft2),2018 Weather Normalized Source EUI (kBtu/ft2),2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percent Better than National Median Source EUI,2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percent Better than National Median Source EUI,2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percent Better than National Median Source EUI,2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/ft2),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
0022/014,2627 TAYLOR ST: Cannabis,2627 Taylor St,94133,,Cannabis Business,,,,,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0025/012,3040 LARKIN ST,3040 LARKIN ST,94109,14198,Commercial,Strip Mall,1925,2020-04-01 0:00:00,Pending - Contracted,Complied,,Complied,,Complied,,Complied,,Exempt,Vacancy,Exempt,New Construction,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,39,108,-52.8,-52.8,41.7,115.5,,39.5,110.1,-51.9,-51.9,41.6,116,,38.9,108.2,-52.7,-52.7,38.1,105.8,,0.5,1.6,-99.3,-99.3,0.5,1.6,,,,,,,,,,,,,,,,63.8,117.9,-50.4,-50.4,74.1,128.8,,92,154.3,-35,-35,92.5,154.7,,,,,,,,,,,,,,
0101/031,721 Filbert Street Garage,721 FILBERT ST,94133,23836,Commercial,Parking,1907,2019-04-01 0:00:00,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,,,,,,,,,,,,,,,,64.2,161.7,,,64.1,161.6,,69.9,218.3,,,75.5,236,,73.3,230.3,,,,21.5,,52.1,163.6,,,52.9,166.1,,55.1,172.9,,,57.8,181.4,,64.2,201.7,,,64.4,202.1,,,,,,,,,,,,,,
0165/022,717 BATTERY ST,717 BATTERY ST,94111,57500,Commercial,Hotel,1907,2020-04-01 0:00:00,Complied,Violation - Did Not Report,,Complied,,Complied,,Complied,,Exempt,New Construction,Exempt,New Construction,Exempt,New Construction,Exempt,New Construction,Exempt,,Violation - Did Not Report,,,,,,,,,7,156.6,319.9,57.4,57.4,156.6,319.9,5,166,334,63.7,63.7,166,334,5,164.2,300,62.5,62.5,164.2,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0171/018,520 DAVIS ST,520 DAVIS ST,94111,204694,Mixed Residential,,1981,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0194/009,740 WASHINGTON ST,740 WASHINGTON ST,94108,13200,Commercial,Other,1907,2022-04-01 0:00:00,Upcoming,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Complied,,Complied,,Exempt,Vacancy,Exempt,Change in Ownership,Exempt,Change in Ownership,Exempt,Change in Ownership,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,2,6.1,-95,-95,2,6.1,,1.2,3.7,-97,-97,1.2,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0195/021,848 Kearny Street,848 Kearny St,94111,67217,Multifamily,,2005,,,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Insufficient Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0198/008,500 BATTERY ST,500 BATTERY ST,94111,397527,Mixed Residential,,1965,,,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0209/004,824 GRANT AVE,824 GRANT AVE,94108,49860,Mixed Residential,,1908,,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0220/036,1221 JONES ST,1221 JONES ST,94109,75062,Mixed Residential,Multifamily Housing,1971,,,Complied,,Violation - Insufficient Data,,Complied,,,,,,,,,,,,,,,,,39.6,79,-3.6,-3.6,44.3,88.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
